Year, w_abundance, m_abundance, w_growth, w_mortality, w_recruitment, m_growth, m_recruitment, m_old, w_killRate
1959, 20, 538, 0.10, NA, NA, 0.047, 0.2, 65, NA
1960, 22, 564, 0.00, NA, NA, 0.014, 0.143, 82, NA
1961, 22, 572, 0.05, NA, NA, 0.014, 0.195, 124, NA
1962, 23, 579, -0.13, NA, NA, 0.029, 0.165, 151, NA
1963, 20, 596, 0.30, NA, NA, 0.041, 0.212, 167, NA
1964, 26, 620, 0.08, NA, NA, 0.022, 0.159, 149, NA
1965, 28, 634, -0.07, NA, NA, 0.042, 0.132, 125, NA
1966, 26, 661, -0.15, NA, NA, 0.158, 0.18, 90, NA
1967, 22, 766, 0.00, NA, NA, 0.108, 0.21, 83, NA
1968, 22, 848, -0.23, NA, NA, 0.227, 0.2, 94, NA
1969, 17, 1041, 0.06, NA, NA, 0.004, 0.165, 103, NA
1970, 18, 1045, 0.11, 0.00, 0.11, 0.132, 0.161, 99, NA
1971, 20, 1183, 0.15, 0.35, 0.50, 0.051, 0.114, 128, 0.614804965
1972, 23, 1243, 0.04, 0.26, 0.30, -0.023, 0.107, 159, 0.818668047
1973, 24, 1215, 0.29, 0.04, 0.33, -0.010, 0.151, 186, 0.760416667
1974, 31, 1203, 0.32, 0.15, 0.47, -0.053, 0.147, 215, 0.599037917
1975, 41, 1139, 0.07, 0.13, 0.20, -0.060, 0.123, 223, 0.645426829
1976, 44, 1070, -0.23, 0.39, 0.16, -0.113, 0.103, 293, 0.56267618
1977, 34, 949, 0.18, 0.06, 0.24, -0.110, 0.061, 299, 0.298202614
1978, 40, 845, 0.08, 0.13, 0.21, 0.015, 0.102, 336, 0.506944444
1979, 43, 857, 0.16, 0.06, 0.22, -0.080, 0.13, 356, 0.387442741
1980, 50, 788, -0.40, 0.54, 0.14, -0.027, 0.12, 384, 0.329943503
1981, 30, 767, -0.53, 0.53, 0.00, 0.017, 0.237, 391, 0.217261905
1982, 14, 780, 0.64, 0.29, 0.93, 0.065, 0.207, 405, 0.869047619
1983, 23, 830, 0.04, 0.41, 0.45, 0.116, 0.164, 374, 0.393821931
1984, 24, 927, -0.08, 0.38, 0.30, 0.053, 0.145, 388, 0.440241228
1985, 22, 976, -0.09, 0.27, 0.18, 0.039, 0.131, 341, 0.456630525
1986, 20, 1014, -0.20, 0.43, 0.23, 0.031, 0.16, 274, 0.67019774
1987, 16, 1046, -0.25, 0.44, 0.19, 0.067, 0.16, 204, 0.549189815
1988, 12, 1116, 0.00, 0.08, 0.08, 0.129, 0.152, 173, 0.864109848
1989, 12, 1260, 0.25, 0.00, 0.25, 0.044, 0.134, 183, 0.809652278
1990, 15, 1315, -0.20, 0.20, 0.00, 0.138, 0.148, 177, 0.856874189
1991, 12, 1496, 0.00, 0.17, 0.17, 0.135, 0.139, 228, 1.028909465
1992, 12, 1697, 0.08, 0.08, 0.17, 0.051, 0.109, 334, 1.428406998
1993, 13, 1784, 0.31, 0.31, 0.62, 0.131, 0.14, 438, 0.877403846
1994, 17, 2017, -0.06, 0.24, 0.18, 0.049, 0.12, 518, 0.792100694
1995, 16, 2117, 0.38, 0.06, 0.44, 0.133, 0.07, 616, 1.391198891
1996, 22, 2398, 0.09, 0.23, 0.32, -0.625, 0.03, 730, 1.274167562
1997, 24, 900, -0.42, 0.54, 0.13, 0.028, 0.13, 143, 0.637665968
1998, 14, 925, 0.79, 0.07, 0.86, 0.078, 0.14, 182, 0.802197802
1999, 25, 997, 0.16, 0.04, 0.20, 0.035, 0.06, 217, 0.631203008
2000, 29, 1031, -0.34, 0.52, 0.17, 0.086, 0.14, 245, 0.474480022
2001, 19, 1120, -0.11, 0.47, 0.37, -0.018, 0.11, 272, 0.876670844
2002, 17, 1100, 0.12, 0.29, 0.41, -0.182, 0.08, 337, 1.1385918
2003, 19, 900, 0.53, 0.11, 0.63, -0.167, 0.07, 321, 0.727671451
2004, 29, 750, 0.03, 0.34, 0.38, -0.280, 0.08, NA, 0.834312957
2005, 30, 540, 0.00, 0.23, 0.23, -0.167, 0.105, NA, 0.724206349
2006, 30, 450, -0.30, 0.43, 0.13, -0.144, 0.059, NA, 0.506944444
2007, 21, 385, 0.10, 0.10, 0.19, 0.688, 0.05, NA, 0.695238095
2008, 23, 650, 0.04, 0.26, 0.30, -0.185, 0.105, NA, 0.732931727
2009, 24, 530, -0.21, 0.42, 0.21, -0.038, 0.129, NA, 0.63875
2010, 19, 510, -0.16, 0.26, 0.11, 0.010, 0.119, NA, 0.438
2011, 16, 515, NA, NA, NA, NA, NA, NA, 0.667933559
